Year,prices minus long term trend
1800,-0.24637
1801,-0.627194
1802,-0.52936
1803,0.5284897
1804,1.086013
1805,1.0006708
1806,1.4909336
1807,-0.293348
1808,-0.189363
1809,-0.535696
1810,-2.267887
1811,-0.450388
1812,-0.745552
1813,0.0594841
1814,-1.110557
1815,-1.980553
1816,-3.231894
1817,-2.565094
1818,-2.336366
1819,-1.978479
1820,-1.39082
1821,-1.744127
1822,-1.537808
1823,-1.114105
1824,0.0843439
1825,-0.049965
1826,-0.923271
1827,-1.071807
1828,-1.148959
1829,-1.520317
1830,-1.415474
1831,-0.862458
1832,-0.427669
1833,-0.467444
1834,-0.64654
1835,-0.060054
1836,-0.228947
1837,-0.157557
1838,-0.391499
1839,0.1123938
1840,0.0665423
1841,-0.100492
1842,-0.285062
1843,-0.144051
1844,0.2849863
1845,0.8644207
1846,0.533557
1847,0.5625507
1848,0.9027403
1849,0.9459653
1850,0.6301296
1851,1.7491664
1852,3.8007765
1853,3.4349614
1854,2.958348
1855,3.8506465
1856,3.1694318
1857,2.5377862
1858,2.2796155
1859,2.3533953
1860,2.1656473
1861,1.2212794
1862,3.1720639
1863,4.071411
1864,2.6159836
1865,1.8873835
1866,0.1325061
1867,-0.134372
1868,0.2374502
1869,-0.233553
1870,0.9490109
1871,4.2647977
1872,2.1356649
1873,0.8312977
1874,1.2870662
1875,0.9991153
1876,0.3941246
1877,0.211335
1878,1.1900833
1879,2.016945
1880,0.9200446
1881,1.0260766
1882,0.3419967
1883,-0.205532
1884,-1.197164
1885,-1.2008
1886,-1.052622
1887,1.0717678
1888,-0.034758
1889,0.7589138
1890,-0.234014
1891,-0.809063
1892,-1.004239
1893,-1.364813
1894,-0.648734
1895,-0.534385
1896,-0.379191
1897,-0.101054
1898,2.3114235
1899,1.891326
1900,2.0457137
1901,-0.124096
1902,0.3774668
1903,0.1800673
1904,1.2367454
1905,2.7113209
1906,3.098397
1907,0.4982676
1908,0.4501134
1909,0.2224521
1910,0.1016388
1911,1.3822594
1912,1.0234477
1913,0.1753769
1914,1.5059687
1915,4.3917344
1916,3.6280654
1917,1.3656506
1918,-0.487019
1919,-1.181572
1920,-1.836361
1921,-1.47424
1922,-1.270269
1923,-1.536461
1924,-1.376056
1925,-1.435523
1926,-1.518103
1927,-1.133149
1928,-0.380715
1929,-1.334592
1930,-2.134579
1931,-2.547773
1932,-2.042737
1933,-1.719207
1934,-1.698317
1935,-1.495406
1936,-0.736603
1937,-1.36338
1938,-1.053981
1939,-0.98222
1940,-0.975604
1941,-1.222777
1942,-1.34626
1943,-1.363446
1944,-1.392305
1945,-1.178504
1946,-0.354542
1947,-0.42549
1948,-0.776962
1949,-0.480089
1950,-0.298745
1951,-0.345859
1952,0.2341287
1953,0.3663711
1954,1.3450052
1955,1.8682134
1956,0.2953754
1957,-0.259736
1958,0.3057117
1959,0.4323308
1960,0.1614402
1961,0.2239607
1962,0.2025331
1963,0.3230862
1964,0.6224598
1965,0.5993057
1966,0.7298421
1967,0.938933
1968,1.3140171
1969,2.0266955
1970,1.3007137
1971,1.1166323
1972,1.5341895
1973,2.3405915
1974,1.0665054
1975,1.1890918
1976,0.790938
1977,0.5256553
1978,1.4603172
1979,1.2866956
1980,0.2589878
1981,-0.315866
1982,-0.250136
1983,-0.663832
1984,-0.715449
1985,-0.764852
1986,-0.321631
1987,0.7080269
1988,0.8551141
1989,0.4778678
1990,0.013782
1991,-0.097415
1992,-0.525378
1993,-0.191251
1994,-0.491753
1995,-0.207661
1996,-0.067506
